NUM_OF_TRIANGLES 12

// Geometry format = position (x y z), texture (u v)
// Front face
-40.0, -40.0, +40.0,	0.0, 1.0
+40.0, -40.0, +40.0,	1.0, 1.0
+40.0, +40.0, +40.0,	1.0, 0.0

+40.0, +40.0, +40.0,	1.0, 0.0
-40.0, +40.0, +40.0,	0.0, 0.0
-40.0, -40.0, +40.0,	0.0, 1.0
//Bottom face

-40.0, -40.0, +40.0,   1.0, 1.0
-40.0, -40.0, -40.0,    1.0, 0.0
-40.0, -40.0, -40.0,    0.0, 0.0

-40.0, -40.0, +40.0,   1.0, 1.0
+40.0, -40.0, -40.0,    0.0, 0.0
+40.0, -40.0, +40.0,   0.0, 1.0

//Back face
-40.0, -40.0, -40.0,   0.0, 1.0
+40.0, +40.0, -40.0,   1.0, 0.0
+40.0, -40.0, -40.0,   1.0, 1.0

-40.0, -40.0, -40.0,   0.0, 1.0
+40.0, +40.0, -40.0,   1.0, 0.0
-40.0, +40.0, -40.0,   0.0, 0.0

//Right face
+40.0, -40.0, -40.0,   1.0, 1.0
+40.0, +40.0, -40.0,   1.0, 0.0
+40.0, -40.0, +40.0,    0.0, 1.0

+40.0, +40.0, -40.0,   1.0, 0.0
+40.0, -40.0, +40.0,    0.0, 1.0
+40.0, +40.0, +40.0,    0.0, 0.0

//Left face
-40.0, -40.0, -40.0,    1.0, 1.0
-40.0, +40.0, -40.0,    1.0, 0.0
-40.0, -40.0, +40.0,   0.0, 1.0

-40.0, +40.0, -40.0,    1.0, 0.0
-40.0, -40.0, +40.0,   0.0, 1.0
-40.0, +40.0, +40.0,   0.0, 0.0

//Top face
-40.0, +40.0, +40.0,   1.0, 1.0
-40.0, +40.0, -40.0,    1.0, 0.0
+40.0, +40.0, -40.0,    0.0, 0.0

-40.0, +40.0, +40.0,   1.0, 1.0
+40.0, +40.0, -40.0,    0.0, 0.0
+40.0, +40.0, +40.0,   0.0, 1.0
